,HBW,HTT,MMIPS,MET,MBW,MTT,RMIPS,RET,RBW,RTT,BBW,BTT,TT
0,High,Low,Low,Low,High,Low,Medium,High,Low,High,Low,Low,Low
1,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low
2,High,Low,Low,Low,Medium,Low,Medium,High,Low,High,Low,High,Medium
3,High,Low,Low,Low,Medium,Low,Low,Low,Low,Medium,Low,High,Low
4,High,Low,Low,Low,Medium,Low,High,High,Low,Medium,Low,High,Medium
5,High,Low,Low,Low,Medium,Low,Low,Low,Low,Medium,Low,High,Low
6,High,Low,Low,Low,Medium,Low,High,High,Low,High,Low,High,Medium
7,High,Low,Low,Low,Medium,Low,Low,Low,High,Low,Low,High,Low
8,High,Low,Low,Low,Medium,Low,High,High,Low,High,Low,High,Medium
9,High,Low,Low,Low,Medium,Low,Low,Low,High,Low,Low,High,Low
10,Low,High,Low,Low,Medium,Low,Medium,High,Low,High,Low,Low,Medium
11,Low,High,Low,Low,Medium,Low,Low,Low,Low,Low,High,Low,Low
12,Low,High,Low,Low,High,Low,Medium,High,Low,High,Low,High,Medium
13,Low,High,Low,Low,High,Low,Low,Low,Low,Medium,Low,High,Medium
14,Low,High,Low,Low,Medium,Low,High,High,Low,Medium,Low,High,Medium
15,Low,High,Low,Low,Medium,Low,Low,Low,Low,Medium,Low,High,Medium
16,Low,High,Low,Low,Medium,Low,High,High,Low,High,Low,High,Medium
17,Low,High,Low,Low,Medium,Low,Low,Low,High,Low,Low,High,Low
18,Low,High,Low,Low,Medium,Low,High,High,Low,High,Low,High,Medium
19,Low,High,Low,Low,Medium,Low,Low,Low,High,Low,Low,High,Low
20,High,Low,Low,Low,High,Low,Medium,High,Low,High,Low,Low,Low
21,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low
22,High,Low,Low,Low,Low,Low,Medium,High,Low,High,Low,High,Medium
23,High,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Low
24,High,Low,Low,Low,Low,Low,High,High,Low,Medium,Low,High,Medium
25,High,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Low
26,High,Low,Low,Low,Low,Low,High,High,Low,High,Low,High,Medium
27,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low
28,High,Low,Low,Low,Low,Low,High,High,Low,High,Low,High,Medium
29,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low
30,High,Low,Low,Low,High,Low,Medium,High,Low,High,Low,Low,Low
31,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low
32,High,Low,Low,Low,Low,Low,Medium,High,Low,High,Low,High,Medium
33,High,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Low
34,High,Low,Low,Low,Low,Low,High,High,Low,Medium,Low,High,Medium
35,High,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Low
36,High,Low,Low,Low,Low,Low,High,High,Low,High,Low,High,Medium
37,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low
38,High,Low,Low,Low,Low,Low,High,High,Low,High,Low,High,Medium
39,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low
40,High,Low,Low,Low,High,Low,Medium,High,Low,High,Low,Low,Low
41,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low
42,High,Low,Low,Low,Low,Low,Medium,High,Low,High,Low,High,Medium
43,High,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Low
44,High,Low,Low,Low,Low,Low,High,High,Low,Medium,Low,High,Medium
45,High,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Low
46,High,Low,Low,Low,Low,Low,High,High,Low,High,Low,High,Medium
47,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low
48,High,Low,Low,Low,Low,Low,High,High,Low,High,Low,High,Medium
49,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low
50,High,Low,Low,Low,High,Low,Medium,High,Low,High,Low,Low,Low
51,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low
52,High,Low,Low,Low,Low,Low,Medium,High,Low,High,Low,High,Medium
53,High,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Low
54,High,Low,Low,Low,Low,Low,High,High,Low,Medium,Low,High,Medium
55,High,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Low
56,High,Low,Low,Low,Low,Low,High,High,Low,High,Low,High,Medium
57,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low
58,High,Low,Low,Low,Low,Low,High,High,Low,High,Low,High,Medium
59,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low
60,Low,High,Low,Low,Low,Medium,Medium,High,Low,High,Low,Low,Medium
61,Low,High,Low,Low,Low,Medium,Low,Low,Low,Low,High,Low,Low
62,Low,High,Low,Low,Low,Low,Medium,High,Low,High,Low,High,Medium
63,Low,High,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Medium
64,Low,High,Low,Low,Low,Low,High,High,Low,Medium,Low,High,Medium
65,Low,High,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Medium
66,Low,High,Low,Low,Low,Low,High,High,Low,High,Low,High,Medium
67,Low,High,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low
68,Low,High,Low,Low,High,Low,High,High,Low,High,Low,High,Medium
69,Low,High,Low,Low,High,Low,Low,Low,High,Low,Low,High,Low
70,High,Low,Low,Low,High,Low,Medium,High,Low,High,Low,Low,Low
71,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low
72,High,Low,Low,Low,Low,Medium,Medium,High,Low,High,Low,High,Medium
73,High,Low,Low,Low,Low,Medium,Low,Low,Low,Medium,Low,High,Low
74,High,Low,Low,Low,Low,Medium,High,High,Low,Medium,Low,High,Medium
75,High,Low,Low,Low,Low,Medium,Low,Low,Low,Medium,Low,High,Low
76,High,Low,Low,Low,Low,Medium,High,High,Low,High,Low,High,Medium
