,HBW,HTT,MMIPS,MET,MBW,MTT,RMIPS,RET,RBW,RTT,BBW,BTT,TT
0,4,1,1,1,4,1,2,4,1,4,1,1,2
1,4,1,1,1,4,1,1,1,2,1,4,1,1
2,4,1,1,1,3,1,3,4,1,4,1,4,2
3,4,1,1,1,3,1,1,1,1,3,1,4,1
4,4,1,1,1,3,1,3,4,1,3,1,4,2
5,4,1,1,1,3,1,1,1,1,3,1,4,1
6,4,1,1,1,3,1,4,4,1,4,1,4,2
7,4,1,1,1,3,1,1,1,4,1,1,4,1
8,4,1,1,1,3,1,3,4,1,4,1,4,2
9,4,1,1,1,3,1,1,1,4,1,1,4,1
10,1,4,1,1,3,1,2,4,1,4,1,1,2
11,1,4,1,1,3,1,1,1,2,1,4,1,1
12,1,4,1,1,4,1,3,4,1,4,1,4,3
13,1,4,1,1,4,1,1,1,1,3,1,4,2
14,1,4,1,1,3,1,3,4,1,3,1,4,3
15,1,4,1,1,3,1,1,1,1,3,1,4,2
16,1,4,1,1,3,1,4,4,1,4,1,4,3
17,1,4,1,1,3,1,1,1,4,1,1,4,2
18,1,4,1,1,3,1,3,4,1,4,1,4,3
19,1,4,1,1,3,1,1,1,4,1,1,4,2
20,4,1,1,1,4,1,2,4,1,4,1,1,2
21,4,1,1,1,4,1,1,1,2,1,4,1,1
22,4,1,1,1,1,1,3,4,1,4,1,4,2
23,4,1,1,1,1,1,1,1,1,3,1,4,1
24,4,1,1,1,1,1,3,4,1,3,1,4,2
25,4,1,1,1,1,1,1,1,1,3,1,4,1
26,4,1,1,1,1,1,4,4,1,4,1,4,2
27,4,1,1,1,1,1,1,1,4,1,1,4,1
28,4,1,1,1,1,1,3,4,1,4,1,4,2
29,4,1,1,1,1,1,1,1,4,1,1,4,1
30,4,1,1,1,4,1,2,4,1,4,1,1,2
31,4,1,1,1,4,1,1,1,2,1,4,1,1
32,4,1,1,1,1,1,3,4,1,4,1,4,2
33,4,1,1,1,1,1,1,1,1,3,1,4,1
34,4,1,1,1,1,1,3,4,1,3,1,4,2
35,4,1,1,1,1,1,1,1,1,3,1,4,1
36,4,1,1,1,1,1,4,4,1,4,1,4,2
37,4,1,1,1,1,1,1,1,4,1,1,4,1
38,4,1,1,1,1,1,3,4,1,4,1,4,2
39,4,1,1,1,1,1,1,1,4,1,1,4,1
40,4,1,1,1,4,1,2,4,1,4,1,1,2
41,4,1,1,1,4,1,1,1,2,1,4,1,1
42,4,1,1,1,1,1,3,4,1,4,1,4,2
43,4,1,1,1,1,1,1,1,1,3,1,4,1
44,4,1,1,1,1,1,3,4,1,3,1,4,2
45,4,1,1,1,1,1,1,1,1,3,1,4,1
46,4,1,1,1,1,1,4,4,1,4,1,4,2
47,4,1,1,1,1,1,1,1,4,1,1,4,1
48,4,1,1,1,1,1,3,4,1,4,1,4,2
49,4,1,1,1,1,1,1,1,4,1,1,4,1
50,4,1,1,1,4,1,2,4,1,4,1,1,2
51,4,1,1,1,4,1,1,1,2,1,4,1,1
52,4,1,1,1,1,2,3,4,1,4,1,4,2
53,4,1,1,1,1,2,1,1,1,3,1,4,1
54,4,1,1,1,1,2,3,4,1,3,1,4,2
55,4,1,1,1,1,2,1,1,1,3,1,4,1
56,4,1,1,1,1,2,4,4,1,4,1,4,2
57,4,1,1,1,1,2,1,1,4,1,1,4,1
58,4,1,1,1,1,2,3,4,1,4,1,4,2
59,4,1,1,1,1,2,1,1,4,1,1,4,1
60,1,4,1,1,1,2,2,4,1,4,1,1,2
61,1,4,1,1,1,2,1,1,2,1,4,1,1
62,1,4,1,1,1,2,3,4,1,4,1,4,3
63,1,4,1,1,1,2,1,1,1,3,1,4,2
64,1,4,1,1,1,1,3,4,1,3,1,4,3
65,1,4,1,1,1,1,1,1,1,3,1,4,2
66,1,4,1,1,1,1,4,4,1,4,1,4,3
67,1,4,1,1,1,1,1,1,4,1,1,4,2
68,1,4,1,1,4,1,3,4,1,4,1,4,3
69,1,4,1,1,4,1,1,1,4,1,1,4,2
70,4,1,1,1,4,1,2,4,1,4,1,1,2
71,4,1,1,1,4,1,1,1,2,1,4,1,1
72,4,1,1,1,1,2,3,4,1,4,1,4,2
73,4,1,1,1,1,2,1,1,1,3,1,4,1
74,4,1,1,1,1,2,3,4,1,3,1,4,2
75,4,1,1,1,1,2,1,1,1,3,1,4,1
76,4,1,1,1,1,2,4,4,1,4,1,4,2
